time,p_x,p_y,p_z
1.948999999999999844e+01,-6.644788980484008789e-01,-6.090958714485168457e-01,9.911171793937683105e-01
1.950000000000000000e+01,-6.644350886344909668e-01,-6.091094017028808594e-01,9.911069869995117188e-01
1.951000000000000156e+01,-6.643893122673034668e-01,-6.091265082359313965e-01,9.910988211631774902e-01
1.951999999999999957e+01,-6.643414497375488281e-01,-6.091467738151550293e-01,9.910871982574462891e-01
1.953000000000000114e+01,-6.642916798591613770e-01,-6.091703176498413086e-01,9.910606741905212402e-01
1.953999999999999915e+01,-6.642401218414306641e-01,-6.091971993446350098e-01,9.910510182380676270e-01
1.955000000000000071e+01,-6.641869544982910156e-01,-6.092272400856018066e-01,9.910434484481811523e-01
1.955999999999999872e+01,-6.641324162483215332e-01,-6.092602610588073730e-01,9.910227656364440918e-01
1.957000000000000028e+01,-6.640765070915222168e-01,-6.092962026596069336e-01,9.910174012184143066e-01
1.957999999999999829e+01,-6.640191674232482910e-01,-6.093351244926452637e-01,9.910001158714294434e-01
1.958999999999999986e+01,-6.639605760574340820e-01,-6.093766093254089355e-01,9.909902811050415039e-01
1.960000000000000142e+01,-6.639007329940795898e-01,-6.094207763671875000e-01,9.909837245941162109e-01
1.960999999999999943e+01,-6.638397574424743652e-01,-6.094671487808227539e-01,9.909744262695312500e-01
1.962000000000000099e+01,-6.637778878211975098e-01,-6.095159649848937988e-01,9.909713864326477051e-01
1.962999999999999901e+01,-6.637151837348937988e-01,-6.095671057701110840e-01,9.909649491310119629e-01
1.964000000000000057e+01,-6.636519432067871094e-01,-6.096204519271850586e-01,9.909548163414001465e-01
1.964999999999999858e+01,-6.635882258415222168e-01,-6.096762418746948242e-01,9.909541010856628418e-01
1.966000000000000014e+01,-6.635243892669677734e-01,-6.097341179847717285e-01,9.909420013427734375e-01
1.967000000000000171e+01,-6.634604930877685547e-01,-6.097943186759948730e-01,9.909396767616271973e-01
1.967999999999999972e+01,-6.633961796760559082e-01,-6.098565459251403809e-01,9.909320473670959473e-01
1.969000000000000128e+01,-6.633314490318298340e-01,-6.099208593368530273e-01,9.909144639968872070e-01
1.969999999999999929e+01,-6.632663011550903320e-01,-6.099871397018432617e-01,9.909104704856872559e-01
