time,p_x,p_y,p_z
2.410000000000000142e+01,7.229322791099548340e-01,-8.220997452735900879e-01,8.669943213462829590e-01
2.410999999999999943e+01,7.226139307022094727e-01,-8.222222328186035156e-01,8.670007586479187012e-01
2.412000000000000099e+01,7.222955226898193359e-01,-8.223417401313781738e-01,8.670086860656738281e-01
2.412999999999999901e+01,7.219774127006530762e-01,-8.224583864212036133e-01,8.670122623443603516e-01
2.414000000000000057e+01,7.216599583625793457e-01,-8.225718736648559570e-01,8.670145273208618164e-01
2.414999999999999858e+01,7.213428616523742676e-01,-8.226820230484008789e-01,8.670131564140319824e-01
2.416000000000000014e+01,7.210265398025512695e-01,-8.227888345718383789e-01,8.670111894607543945e-01
2.417000000000000171e+01,7.207111716270446777e-01,-8.228917717933654785e-01,8.670042753219604492e-01
2.417999999999999972e+01,7.203969359397888184e-01,-8.229909539222717285e-01,8.669937849044799805e-01
2.419000000000000128e+01,7.200842499732971191e-01,-8.230862617492675781e-01,8.669826388359069824e-01
2.419999999999999929e+01,7.197738885879516602e-01,-8.231782317161560059e-01,8.669738173484802246e-01
2.421000000000000085e+01,7.194660902023315430e-01,-8.232668042182922363e-01,8.669732809066772461e-01
2.421999999999999886e+01,7.191613912582397461e-01,-8.233520984649658203e-01,8.669747710227966309e-01
2.423000000000000043e+01,7.188596725463867188e-01,-8.234339356422424316e-01,8.669878840446472168e-01
2.423999999999999844e+01,7.185611724853515625e-01,-8.235119581222534180e-01,8.670017123222351074e-01
2.425000000000000000e+01,7.182662487030029297e-01,-8.235864043235778809e-01,8.670113086700439453e-01
2.426000000000000156e+01,7.179752588272094727e-01,-8.236574530601501465e-01,8.670219779014587402e-01
2.426999999999999957e+01,7.176890373229980469e-01,-8.237248659133911133e-01,8.670327067375183105e-01
2.428000000000000114e+01,7.174076437950134277e-01,-8.237891793251037598e-01,8.670401573181152344e-01
2.428999999999999915e+01,7.171313166618347168e-01,-8.238503932952880859e-01,8.670470118522644043e-01
2.430000000000000071e+01,7.168602347373962402e-01,-8.239082694053649902e-01,8.670587539672851562e-01
2.430999999999999872e+01,7.165947556495666504e-01,-8.239629268646240234e-01,8.670672178268432617e-01
2.432000000000000028e+01,7.163348793983459473e-01,-8.240137696266174316e-01,8.670675158500671387e-01
2.432999999999999829e+01,7.160812020301818848e-01,-8.240612745285034180e-01,8.670606613159179688e-01
2.433999999999999986e+01,7.158344984054565430e-01,-8.241055011749267578e-01,8.670529723167419434e-01
2.435000000000000142e+01,7.155947089195251465e-01,-8.241467475891113281e-01,8.670465946197509766e-01
2.435999999999999943e+01,7.153621912002563477e-01,-8.241848945617675781e-01,8.670393228530883789e-01
2.437000000000000099e+01,7.151367068290710449e-01,-8.242201209068298340e-01,8.670362234115600586e-01
2.437999999999999901e+01,7.149185538291931152e-01,-8.242524862289428711e-01,8.670318722724914551e-01
2.439000000000000057e+01,7.147075533866882324e-01,-8.242819309234619141e-01,8.670241236686706543e-01
2.439999999999999858e+01,7.145036458969116211e-01,-8.243080973625183105e-01,8.670139312744140625e-01
2.441000000000000014e+01,7.143075466156005859e-01,-8.243312835693359375e-01,8.670004606246948242e-01
2.442000000000000171e+01,7.141193747520446777e-01,-8.243512511253356934e-01,8.669840097427368164e-01
2.442999999999999972e+01,7.139397263526916504e-01,-8.243681192398071289e-01,8.669685721397399902e-01
2.444000000000000128e+01,7.137687206268310547e-01,-8.243820071220397949e-01,8.669496178627014160e-01
2.444999999999999929e+01,7.136065363883972168e-01,-8.243930339813232422e-01,8.669322133064270020e-01
2.446000000000000085e+01,7.134528756141662598e-01,-8.244013190269470215e-01,8.669089078903198242e-01
2.446999999999999886e+01,7.133076190948486328e-01,-8.244067430496215820e-01,8.668835163116455078e-01
2.448000000000000043e+01,7.131703495979309082e-01,-8.244093060493469238e-01,8.668579459190368652e-01
2.448999999999999844e+01,7.130412459373474121e-01,-8.244090080261230469e-01,8.668292164802551270e-01
2.450000000000000000e+01,7.129203081130981445e-01,-8.244057297706604004e-01,8.667987585067749023e-01
2.451000000000000156e+01,7.128078341484069824e-01,-8.243995308876037598e-01,8.667702078819274902e-01
2.451999999999999957e+01,7.127038836479187012e-01,-8.243902921676635742e-01,8.667431473731994629e-01
2.453000000000000114e+01,7.126086950302124023e-01,-8.243785500526428223e-01,8.667188882827758789e-01
2.453999999999999915e+01,7.125219106674194336e-01,-8.243643045425415039e-01,8.666942715644836426e-01
2.455000000000000071e+01,7.124436497688293457e-01,-8.243479728698730469e-01,8.666675090789794922e-01
2.455999999999999872e+01,7.123733758926391602e-01,-8.243293762207031250e-01,8.666388392448425293e-01
2.457000000000000028e+01,7.123110294342041016e-01,-8.243085145950317383e-01,8.666064739227294922e-01
2.457999999999999829e+01,7.122562527656555176e-01,-8.242852091789245605e-01,8.665789961814880371e-01
2.458999999999999986e+01,7.122095227241516113e-01,-8.242596387863159180e-01,8.665538430213928223e-01
2.460000000000000142e+01,7.121705412864685059e-01,-8.242317438125610352e-01,8.665291666984558105e-01
2.460999999999999943e+01,7.121395468711853027e-01,-8.242020606994628906e-01,8.665136098861694336e-01
2.462000000000000099e+01,7.121165990829467773e-01,-8.241707086563110352e-01,8.665020465850830078e-01
2.462999999999999901e+01,7.121015191078186035e-01,-8.241378664970397949e-01,8.664879202842712402e-01
2.464000000000000057e+01,7.120938897132873535e-01,-8.241033554077148438e-01,8.664789199829101562e-01
2.464999999999999858e+01,7.120935320854187012e-01,-8.240669965744018555e-01,8.664730787277221680e-01
2.466000000000000014e+01,7.121003270149230957e-01,-8.240290880203247070e-01,8.664651513099670410e-01
2.467000000000000171e+01,7.121141552925109863e-01,-8.239895105361938477e-01,8.664631843566894531e-01
2.467999999999999972e+01,7.121355533599853516e-01,-8.239489197731018066e-01,8.664657473564147949e-01
2.469000000000000128e+01,7.121645808219909668e-01,-8.239074945449829102e-01,8.664688467979431152e-01
